term,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),cohort,model,n
smk_current,0.04833823231850832,1.0495255787676376,0.08582201737301673,-0.11986983081317529,0.2165462954501919,0.8870358939435068,1.2417805728137727,0.0,0.5632381269763338,0.5732727437796219,0.8027064070748887,CHARLS,M3,1698
drink,8.709175242088731e-06,1.000008709213167,0.07529542050558724,-0.14756760321650755,0.14758502156699174,0.8628041080168216,1.159031823342556,0.0,0.00011566673223429934,0.9999077113003575,0.00013315059354641298,CHARLS,M3,1698
sbp,0.001066963269781387,1.0010675326775853,0.0015268249452884662,-0.0019255586336813452,0.004059485173244119,0.9980762940649938,1.0040677360441648,0.0,0.6988117878698946,0.4846696607781813,1.0449263189949591,CHARLS,M3,1698
group_mid,-0.4717646445614869,0.6239003339761985,0.06089256359420347,-0.5911118761324405,-0.35241741299053325,0.5537112839787809,0.7029866249764358,0.0,-7.747491922090721,9.372529406517765e-15,46.60048297630245,ELSA,M1,2816
group_high,-0.9917121138717138,0.37094105371194147,0.0642979013539932,-1.1177336848070496,-0.8656905429363779,0.3270200860287203,0.42076089881782086,0.0,-15.423708907882167,1.1340033396117565e-53,175.88076414004263,ELSA,M1,2816
group_mid,-0.22875220050207246,0.7955256399368128,0.06753238048378263,-0.3611132340405421,-0.09639116696360286,0.696900081186849,0.9081087244517,0.0,-3.3872965659341077,0.0007058504286784019,10.46834987404884,ELSA,M2,2816
group_high,-0.5882516274661437,0.5552973030635093,0.08063609723340717,-0.7462954738974916,-0.43020778103479573,0.47411969223617056,0.6503739453116993,0.0,-7.295140112788515,2.9834843256135596e-13,41.60806703613644,ELSA,M2,2816
age,0.03252244816968156,1.033057083124378,0.0035911016651015196,0.025484018241260765,0.03956087809810236,1.0258115118673445,1.0403538317197756,0.0,9.056398621552855,1.3482864990949169e-19,62.68550671368006,ELSA,M2,2816
female,0.2580034778996971,1.294343320212651,0.047225214292826743,0.16544375872357048,0.3505631970758237,1.1799166008376274,1.4198669883869672,0.0,5.463256901279672,4.674773032203847e-08,24.350528437577303,ELSA,M2,2816
group_mid,-0.20443648670583583,0.8151065103730673,0.07109549456492671,-0.3437810955161553,-0.06509187789551632,0.7090841327574715,0.9369813715459402,0.0,-2.875519580486747,0.004033631266664977,7.953705078268983,ELSA,M3,2610
group_high,-0.5364963095735543,0.5847936028920077,0.08576915467527328,-0.7046007637215351,-0.3683918554255735,0.4943058797076116,0.691846024946543,0.0,-6.255119472784345,3.9721171362186504e-10,31.229372780853765,ELSA,M3,2610
age,0.0329196729584039,1.033467520518517,0.00393586966658888,0.025205510164046027,0.04063383575276178,1.0255258548563286,1.04147068638881,0.0,8.364015007370545,6.061920467557237e-17,53.873002689008686,ELSA,M3,2610
female,0.26381265623940514,1.301884273557238,0.0515901213445277,0.16269787644607975,0.36492743603273053,1.1766811328944295,1.440409482530321,0.0,5.11362736438666,3.1603049780839057e-07,21.593432875069155,ELSA,M3,2610
marital,-0.04433159951020323,0.9566366846161308,0.047392829314951083,-0.13721983809296143,0.04855663907255497,0.8717785549295652,1.0497548272763855,0.0,-0.935407321128597,0.34957842537595585,1.5163119448416815,ELSA,M3,2610
educ_hs,-0.03326839847185428,0.967278908564706,0.056529119248896684,-0.1440634362774617,0.07752663933375313,0.8658328211059676,1.0806110188327214,0.0,-0.588517898631573,0.5561847235920571,0.8463639753387713,ELSA,M3,2610
educ_college,-0.15947949912520404,0.8525874460057424,0.07702624550031029,-0.3104481661701526,-0.008510832080255493,0.7331183237573857,0.991525282523361,0.0,-2.0704566098131005,0.03840960530835869,4.7023890507586295,ELSA,M3,2610
smk_former,0.07634723886586484,1.079337296953239,0.054184867987693376,-0.029853150897071495,0.18254762862880117,0.9705880530687265,1.2002713168692116,0.0,1.4090140236791764,0.15883102146407221,2.6544353805074574,ELSA,M3,2610
smk_current,0.32303024289911547,1.381307125005971,0.07892407030871124,0.16834190758073442,0.4777185782174965,1.1833411347935148,1.6123916573940411,0.0,4.092924270575298,4.2596686972378665e-05,14.51889924760985,ELSA,M3,2610
drink,-0.05954671150715426,0.9421915213773082,0.10162581253834257,-0.2587296439819248,0.13963622096761624,0.7720317182526041,1.149855429469322,0.0,-0.5859408158206635,0.5579152876022571,0.8418820112450767,ELSA,M3,2610
sbp,0.0014051854882446671,1.0014061732239694,0.0014325884916990377,-0.0014026363601520046,0.004213007336641339,0.9985983468744669,1.004221894528269,0.0,0.9808716853352138,0.3266560220143559,1.614155858331637,ELSA,M3,2610
