term,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),cohort,model,n
smk_current,0.04696882959925905,1.0480893392057764,0.08596201845462915,-0.12151363061018156,0.21545128980869965,0.8855789822847071,1.2404215602800341,0.0,0.5463904924946503,0.5847975440896587,0.7739908423130006,CHARLS,M3,1698
drink,0.0015115536545820193,1.001512696627623,0.07531828896542314,-0.1461095800948279,0.14913268740399196,0.8640630138897072,1.1608270061127328,0.0,0.020068879356459336,0.9839884258194654,0.023286748947912727,CHARLS,M3,1698
sbp,0.0010392232493300188,1.0010397634289172,0.0015268914570141865,-0.0019534290147196747,0.004031875513379713,0.9980484776860012,1.0040400144581851,0.0,0.6806137034535542,0.4961159536811004,1.0112507439326548,CHARLS,M3,1698
group_mid,-0.4717646445614869,0.6239003339761985,0.06089256359420347,-0.5911118761324405,-0.35241741299053325,0.5537112839787809,0.7029866249764358,0.0,-7.747491922090721,9.372529406517765e-15,46.60048297630245,ELSA,M1,2816
group_high,-0.9917121138717138,0.37094105371194147,0.0642979013539932,-1.1177336848070496,-0.8656905429363779,0.3270200860287203,0.42076089881782086,0.0,-15.423708907882167,1.1340033396117565e-53,175.88076414004263,ELSA,M1,2816
group_mid,-0.22875220050207246,0.7955256399368128,0.06753238048378263,-0.3611132340405421,-0.09639116696360286,0.696900081186849,0.9081087244517,0.0,-3.3872965659341077,0.0007058504286784019,10.46834987404884,ELSA,M2,2816
group_high,-0.5882516274661437,0.5552973030635093,0.08063609723340717,-0.7462954738974916,-0.43020778103479573,0.47411969223617056,0.6503739453116993,0.0,-7.295140112788515,2.9834843256135596e-13,41.60806703613644,ELSA,M2,2816
age,0.03252244816968156,1.033057083124378,0.0035911016651015196,0.025484018241260765,0.03956087809810236,1.0258115118673445,1.0403538317197756,0.0,9.056398621552855,1.3482864990949169e-19,62.68550671368006,ELSA,M2,2816
female,0.2580034778996971,1.294343320212651,0.047225214292826743,0.16544375872357048,0.3505631970758237,1.1799166008376274,1.4198669883869672,0.0,5.463256901279672,4.674773032203847e-08,24.350528437577303,ELSA,M2,2816
group_mid,-0.20140834553446085,0.8175785088474175,0.07119244678508409,-0.34094297720451006,-0.06187371386441168,0.711099455929175,0.9400015884637973,0.0,-2.8290690182692106,0.004668363010486278,7.742867535727812,ELSA,M3,2610
group_high,-0.536601744030735,0.5847319487462168,0.0858418239761267,-0.7048486273911703,-0.36835486067029977,0.4941833744212772,0.6918716200943632,0.0,-6.2510524494443205,4.0769592125955513e-10,31.19178742522854,ELSA,M3,2610
age,0.032481580003756026,1.0330148648387922,0.003938036950156277,0.02476316941166177,0.040199990595850284,1.0250723232932433,1.0410189473749318,0.0,8.248165371446559,1.6084468770556454e-16,52.46518122999949,ELSA,M3,2610
female,0.2572743058424381,1.293399865243355,0.05179269877928902,0.1557624815729,0.3587861301119762,1.1685486182956148,1.431590594708426,0.0,4.967385595000458,6.786156858850583e-07,20.490901886554273,ELSA,M3,2610
marital,-0.09846597948250645,0.9062265223851034,0.06009538075056356,-0.21625076139083266,0.019318802425819778,0.8055332798992532,1.0195066179970993,0.0,-1.6384949766972408,0.10131848107999177,3.3030307407818422,ELSA,M3,2610
educ_hs,-0.02952303448367545,0.9709085130073232,0.05661261935624954,-0.14048172949239968,0.08143566052504879,0.86893954075423,1.0848434170827006,0.0,-0.5214921128784755,0.6020239985022947,0.7321070965566029,ELSA,M3,2610
educ_college,-0.15495776884982523,0.8564513456452919,0.07710552043937106,-0.30608181192020956,-0.0038337257794409385,0.7363263767170665,0.9961736135652278,0.0,-2.009684494272628,0.04446459208766121,4.491199239160916,ELSA,M3,2610
smk_former,0.07387718778034548,1.0766745685826185,0.05420814226333901,-0.03236881872462255,0.1801231942853135,0.9681494445803533,1.1973648625445814,0.0,1.3628430102152504,0.1729319927555834,2.531723299822114,ELSA,M3,2610
smk_current,0.3148691539225493,1.3700800296304525,0.07911668933741392,0.15980329224517392,0.46993501559992473,1.173280055005505,1.5998902219328826,0.0,3.979806998491899,6.897123991973618e-05,13.823645571600766,ELSA,M3,2610
drink,-0.05673854031526434,0.9448410749236935,0.10160118393387095,-0.25587320161228094,0.14239612098175228,0.7742401349692818,1.1530332987689662,0.0,-0.5584436924691123,0.5765414442471193,0.794503776237183,ELSA,M3,2610
sbp,0.0013322520757531788,1.0013331399177825,0.0014335131136694558,-0.001477381998404827,0.004141886149911185,0.9985237087931417,1.0041504756151185,0.0,0.9293616242846411,0.35270170871082573,1.5034795297762649,ELSA,M3,2610
